title,village,area,type,size,ori,info,rent,people,dist
大三房 屋里空旷 适合办公 随时看房,融科三万英尺  ,雨花亭租房,3室2厅  ,137平米  ,南 北,距离1号线黄土岭站1133米,3500,8,yuhua
美林银谷国际社区 3室2厅 3500元,美林银谷国际社区  ,河西步步高租房,3室2厅  ,135平米  ,南,随时看房,3500,6,yuelu
世纪城映江苑 2室1厅 2500元,世纪城映江苑  ,湘江世纪城租房,2室1厅  ,94平米  ,南 北,随时看房,2500,4,kaifu
高桥国际 1室0厅 3200元,高桥国际  ,高桥租房,1室0厅  ,64平米  ,南,/,3200,/,yuhua
沁园春御院 3室2厅 3500元,沁园春御院  ,河西步步高租房,3室2厅  ,143平米  ,南 北,随时看房,3500,2,yuelu
芙蓉万国城MOMA 2室1厅 2000元,芙蓉万国城MOMA  ,汽车东站租房,2室1厅  ,80平米  ,南,/,2000,/,furong
佳天瑞宁花园 1室1厅 2000元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,北,随时看房,2000,11,yuhua
沁园春御院 2室1厅 2800元,沁园春御院  ,河西步步高租房,2室1厅  ,96平米  ,南 北,/,2800,/,yuelu
润屋美院 3室2厅 3600元,润屋美院  ,德思勤租房,3室2厅  ,89平米  ,南,/,3600,/,tianxin
天城尚品 1室1厅 1500元,天城尚品  ,德思勤租房,1室1厅  ,47平米  ,东,距离1号线省政府站463米,1500,0,tianxin
中惠锦堂 2室1厅 3300元,中惠锦堂  ,尚东租房,2室1厅  ,114平米  ,南,距离2号线人民东路站158米,3300,2,furong
新城新世界二期 3室1厅 3500元,新城新世界二期  ,高桥租房,3室1厅  ,130平米  ,南,距离城际铁路树木岭站站989米,3500,1,yuhua
天鸿中央大院 2室1厅 2700元,天鸿中央大院  ,铁道学院租房,2室1厅  ,80平米  ,南,距离1号线铁道学院站1003米,2700,2,tianxin
融圣国际 2室1厅 2600元,融圣国际  ,桂花村租房,2室1厅  ,46平米  ,南,随时看房,2600,3,yuhua
菲莎公馆 2室1厅 3200元,菲莎公馆  ,马王堆租房,2室1厅  ,63平米  ,东北,/,3200,/,furong
北辰定江洋 4室2厅 5000元,北辰定江洋  ,北辰三角洲租房,4室2厅  ,202平米  ,南 北,距离1号线北辰三角洲站707米,5000,0,kaifu
钰龙天下二期 2室1厅 2400元,钰龙天下二期  ,市政府租房,2室1厅  ,80平米  ,南,随时看房,2400,0,yuelu
湘江豪庭 4室1厅 7000元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南,距离1号线马厂站1025米,7000,8,kaifu
青园 3室2厅 3400元,青园  ,铁道学院租房,3室2厅  ,125平米  ,南,距离1号线友谊路站1027米,3400,6,tianxin
开福区、珠江花城、近地铁1号线、马厂、开福区区政府,珠江花城一期  ,福元西路租房,3室2厅  ,120平米  ,南,距离1号线马厂站985米,2800,0,kaifu
花漾年华 1室0厅 1380元,花漾年华  ,省政府租房,1室0厅  ,37平米  ,南,/,1380,/,tianxin
沁园春御院 1室1厅 1800元,沁园春御院  ,河西步步高租房,1室1厅  ,43平米  ,南,随时看房,1800,25,yuelu
珠江花城三期 3室2厅 2800元,珠江花城三期  ,福元西路租房,3室2厅  ,123平米  ,南,距离1号线马厂站691米,2800,1,kaifu
金信阳光在线 3室2厅 2100元,金信阳光在线  ,井湾子租房,3室2厅  ,92平米  ,南,随时看房,2100,1,yuhua
美林银谷国际社区 1室1厅 1800元,美林银谷国际社区  ,河西步步高租房,1室1厅  ,50平米  ,西,随时看房,1800,3,yuelu
北辰三角洲奥城E4区 1室1厅 2600元,北辰三角洲奥城E4区  ,北辰三角洲租房,1室1厅  ,50平米  ,西南,随时看房,2600,2,kaifu
北辰三角洲奥城D3区 2室2厅 5000元,北辰三角洲奥城D3区  ,北辰三角洲租房,2室2厅  ,91平米  ,西南,距离1号线北辰三角洲站580米,5000,2,kaifu
兰亭峰景 3室2厅 2600元,兰亭峰景  ,四方坪租房,3室2厅  ,90平米  ,南,/,2600,/,kaifu
欣胜园 4室2厅 2800元,欣胜园  ,河西人人乐租房,4室2厅  ,145平米  ,南,随时看房,2800,0,yuelu
天韵家园 3室1厅 2600元,天韵家园  ,左家塘租房,3室1厅  ,125平米  ,南,随时看房,2600,0,yuhua
精装一房，两卧户型周正，品质小区，适宜居家,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,南 北,随时看房,1900,5,yuhua
北京御园 自住 精装三房 靠麓山国际、博才 陪读好房,新兴北京御园  ,市政府租房,2室2厅  ,88平米  ,南,随时看房,1900,5,yuelu
真实在租，拎包入住，实景照片，可实地看房,梅溪湖壹号三期  ,梅溪湖南岸租房,3室2厅  ,100平米  ,南,随时看房,2600,1,yuelu
食用菌研究所宿舍 3室2厅 2300元,食用菌研究所宿舍  ,河西步步高租房,3室2厅  ,108平米  ,西南,随时看房,2300,0,yuelu
水墨林溪 1室1厅 2100元,水墨林溪  ,新开铺租房,1室1厅  ,56平米  ,南,/,2100,/,tianxin
湘府名邸 4室2厅 2300元,湘府名邸  ,德思勤租房,4室2厅  ,159平米  ,南,随时看房,2300,5,yuhua
中惠锦堂 4室1厅 6000元,中惠锦堂  ,尚东租房,4室1厅  ,145平米  ,南 北,距离2号线人民东路站427米,6000,0,furong
五矿一期90平3房出租，居家装修，拎包入住,五矿万境水岸一期  ,喜盈门租房,3室2厅  ,90平米  ,南,距离城际铁路湘府路站站926米,2200,4,yuhua
世纪城达江苑 3室1厅 2800元,世纪城达江苑  ,湘江世纪城租房,3室1厅  ,96平米  ,南 北,距离1号线开福区政府站1050米,2800,2,kaifu
达美D6区 3室2厅 3400元,达美D6区  ,汽车西站租房,3室2厅  ,90平米  ,南,距离2号线望城坡站571米,3400,2,yuelu
湘诚嘉园 3室2厅 2600元,湘诚嘉园  ,新开铺租房,3室2厅  ,140平米  ,南,距离1号线友谊路站673米,2600,1,tianxin
世纪城悦江苑 3室2厅 3280元,世纪城悦江苑  ,湘江世纪城租房,3室2厅  ,140平米  ,南 北,距离1号线开福区政府站1187米,3280,0,kaifu
世嘉国际华城一期 2室2厅 3000元,世嘉国际华城一期  ,芙蓉区政府租房,2室2厅  ,114平米  ,南 北,距离2号线人民东路站307米,3000,6,furong
标志浪漫满屋 2室2厅 2600元,标志浪漫满屋  ,新开铺租房,2室2厅  ,90平米  ,南,随时看房,2600,0,tianxin
华悦城 2室2厅 2500元,华悦城  ,喜盈门租房,2室2厅  ,101平米  ,南,距离城际铁路湘府路站站593米,2500,3,yuhua
五矿万境水岸一期 3室2厅 2700元,五矿万境水岸一期  ,喜盈门租房,3室2厅  ,89平米  ,南,距离城际铁路湘府路站站838米,2700,1,yuhua
凯通公馆 1室0厅 1800元,凯通公馆  ,火车站租房,1室0厅  ,35平米  ,南,距离2号线长沙火车站站606米,1800,3,furong
加加大商业街 1室1厅 1800元,加加大商业街  ,铁道学院租房,1室1厅  ,56平米  ,南,随时看房,1800,0,tianxin
阳光新城 一层通燃气两房 方便 适合老人与小孩,阳光新城  ,观沙岭租房,2室2厅  ,98平米  ,南,/,2500,/,yuelu
怡海星城 1室0厅 1000元,怡海星城  ,暮云租房,1室0厅  ,43平米  ,南 北,/,1000,/,tianxin
业主诚心出租，价格优惠，万科自带物业。,万科城  ,福元西路租房,3室2厅  ,90平米  ,南,随时看房,2700,11,kaifu
万博汇名邸一期 1室1厅 1800元,万博汇名邸一期  ,雨花亭租房,1室1厅  ,40平米  ,南,/,1800,/,yuhua
柠檬丽都 正规大三房 全新家具 适合居家陪读,柠檬丽都  ,新开铺租房,3室2厅  ,116平米  ,南,距离1号线铁道学院站757米,3000,12,tianxin
融科东南海 3室2厅 3100元,融科东南海  ,树木岭租房,3室2厅  ,99平米  ,南,随时看房,3100,4,yuhua
精心装修小三房，生活质量高品质,万国城三期  ,福元西路租房,3室1厅  ,90平米  ,南,精装修,2600,1,kaifu
万科里梅溪郡 3室2厅 3800元,万科里梅溪郡  ,岳麓其他租房,3室2厅  ,122平米  ,南,随时看房,3800,0,yuelu
奥克斯广场 1室1厅 1800元,奥克斯广场  ,银盆岭租房,1室1厅  ,52平米  ,南 东北,/,1800,/,yuelu
北辰三角洲D2区 4室2厅 8000元,北辰三角洲D2区  ,北辰三角洲租房,4室2厅  ,180平米  ,南 北,距离1号线北辰三角洲站193米,8000,1,kaifu
包安置家具家电，空置出租价格可谈，可办公可居家,北辰三角洲奥城E4区  ,北辰三角洲租房,2室2厅  ,80平米  ,南,随时看房,3200,4,kaifu
嘉文苑 3室2厅 2400元,嘉文苑  ,商学院租房,3室2厅  ,112平米  ,南,/,2400,/,yuelu
万国城MOMA一期 2室2厅 2500元,万国城MOMA一期  ,福元西路租房,2室2厅  ,129平米  ,南 北,/,2500,/,kaifu
阳光锦城 2室1厅 3200元,阳光锦城  ,雨花亭租房,2室1厅  ,90平米  ,南,随时看房,3200,2,yuhua
华盛世纪新城 4室1厅 2500元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南,距离城际铁路湘府路站站839米,2500,7,yuhua
高鑫麓城 3室2厅 3000元,高鑫麓城  ,商学院租房,3室2厅  ,134平米  ,南 北,随时看房,3000,6,yuelu
达美溪湖湾 1室0厅 1800元,达美溪湖湾  ,梅溪湖南岸租房,1室0厅  ,39平米  ,北,随时看房,1800,1,yuelu
协信星澜汇 4室1厅 2700元,协信星澜汇  ,观沙岭租房,4室1厅  ,113平米  ,南,/,2700,/,yuelu
标志CEO公馆整租办公楼，300平。,标志商务中心  ,湘府路租房,1室1厅  ,50平米  ,南,/,2250,/,tianxin
五矿万境水岸一期 3室2厅 2800元,五矿万境水岸一期  ,喜盈门租房,3室2厅  ,88平米  ,南,距离城际铁路湘府路站站773米,2800,0,yuhua
世嘉国际华城一期 3室2厅 3300元,世嘉国际华城一期  ,芙蓉区政府租房,3室2厅  ,140平米  ,南,距离2号线人民东路站678米,3300,2,furong
万国城MOMA一期 3室2厅 3500元,万国城MOMA一期  ,福元西路租房,3室2厅  ,142平米  ,南 北,随时看房,3500,5,kaifu
珠江花城二期 3室2厅 3000元,珠江花城二期  ,福元西路租房,3室2厅  ,130平米  ,南 北,距离1号线马厂站1100米,3000,2,kaifu
北辰三角洲奥城E4区 4室2厅 5500元,北辰三角洲奥城E4区  ,北辰三角洲租房,4室2厅  ,140平米  ,南 北 西,/,5500,/,kaifu
宜居莱茵城 3室1厅 2500元,宜居莱茵城  ,河西人人乐租房,3室1厅  ,100平米  ,南,随时看房,2500,2,yuelu
中惠锦堂 3室2厅 2000元,中惠锦堂  ,尚东租房,3室2厅  ,120平米  ,南 北,距离2号线人民东路站160米,2000,0,furong
和庄 3室2厅 2500元,和庄  ,新开铺租房,3室2厅  ,106平米  ,南,距离1号线友谊路站766米,2500,0,tianxin
几米空间 1室1厅 1300元,几米空间  ,赤岗冲租房,1室1厅  ,56平米  ,南,随时看房,1300,8,yuhua
怡景民居 4室2厅 2600元,怡景民居  ,赤岗冲租房,4室2厅  ,92平米  ,南,/,2600,/,yuhua
东方芙蓉 1室0厅 6500元,东方芙蓉  ,马王堆租房,1室0厅  ,124平米  ,北,/,6500,/,furong
他城时代公寓 1室1厅 1500元,他城时代公寓  ,铁道学院租房,1室1厅  ,41平米  ,南 北,随时看房,1500,1,tianxin
星蓝湾 2室1厅 1800元,星蓝湾  ,滨江新城租房,2室1厅  ,75平米  ,南,/,1800,/,yuelu
北辰三角洲奥城D3区 2室1厅 3000元,北辰三角洲奥城D3区  ,北辰三角洲租房,2室1厅  ,88平米  ,南,距离1号线北辰三角洲站580米,3000,6,kaifu
钱隆学府 2室1厅 1700元,钱隆学府  ,省政府租房,2室1厅  ,61平米  ,南,/,1700,/,tianxin
兰亭玥岛 1室0厅 1700元,兰亭玥岛  ,新开铺租房,1室0厅  ,45平米  ,南,/,1700,/,tianxin
工贸大厦 3室2厅 2200元,工贸大厦  ,树木岭租房,3室2厅  ,93平米  ,南,距离城际铁路树木岭站站544米,2200,2,yuhua
北辰三角洲居家三房，无甲醛，拎包入住。,北辰三角洲奥城D3区  ,北辰三角洲租房,3室1厅  ,100平米  ,南,/,4000,/,kaifu
长沙欧洲城 3室2厅 3500元,长沙欧洲城  ,德思勤租房,3室2厅  ,133平米  ,南 北,/,3500,/,tianxin
莲湖汽车饰品城小区 2室1厅 1500元,莲湖汽车饰品城小区  ,喜盈门租房,2室1厅  ,70平米  ,南,距离城际铁路湘府路站站968米,1500,2,yuhua
宜居莱茵城 2室2厅 2300元,宜居莱茵城  ,河西人人乐租房,2室2厅  ,90平米  ,南,随时看房,2300,1,yuelu
宜居莱茵城 3室2厅 2600元,宜居莱茵城  ,河西人人乐租房,3室2厅  ,88平米  ,南,随时看房,2600,0,yuelu
四季美景 4室2厅 2600元,四季美景  ,四方坪租房,4室2厅  ,132平米  ,南 北,/,2600,/,kaifu
北辰定江洋 3室2厅 4500元,北辰定江洋  ,北辰三角洲租房,3室2厅  ,200平米  ,西南,随时看房,4500,2,kaifu
水木兰庭 3室2厅 2600元,水木兰庭  ,河西人人乐租房,3室2厅  ,108平米  ,南,/,2600,/,yuelu
都市兰亭汇峰苑 3室1厅 2400元,都市兰亭汇峰苑  ,雨花亭租房,3室1厅  ,89平米  ,南 北,随时看房,2400,0,yuhua
万科城 装修好 交通方便 高楼层 采光好空气流通好,万科城  ,福元西路租房,3室1厅  ,89平米  ,南,距离1号线马厂站1053米,2700,2,kaifu
凤凰商贸城 2室1厅 2200元,凤凰商贸城  ,左家塘租房,2室1厅  ,99平米  ,南 北,随时看房,2200,0,yuhua
欣胜园 4室2厅 2500元,欣胜园  ,河西人人乐租房,4室2厅  ,151平米  ,南,随时看房,2500,0,yuelu
旭辉御府 品质三房环境优雅，拎包入住,旭辉御府  ,梅溪湖北岸租房,3室2厅  ,98平米  ,南,随时看房,2800,4,yuelu
标志CEO公馆整租办公楼，300平。,标志商务中心  ,湘府路租房,1室1厅  ,50平米  ,南,距离1号线省政府站792米,2250,0,tianxin
佳兴国际汇 1室1厅 1800元,佳兴国际汇  ,金星中路租房,1室1厅  ,41平米  ,南,距离2号线金星路站964米,1800,4,yuelu
上河国际A区 2室1厅 2200元,上河国际A区  ,高桥租房,2室1厅  ,88平米  ,西,/,2200,/,yuhua
高楼层，精装全南户型大三房，带车位，有钥匙随时看房,世纪城贯江苑  ,湘江世纪城租房,3室2厅  ,126平米  ,南,随时看房,3200,27,kaifu
长房东郡 3室2厅 3200元,长房东郡  ,德政园租房,3室2厅  ,125平米  ,南 北,距离2号线万家丽广场站800米,3200,0,furong
北辰三角洲奥城E4区 1室1厅 2400元,北辰三角洲奥城E4区  ,北辰三角洲租房,1室1厅  ,50平米  ,东,/,2400,/,kaifu
咸嘉西子园 3室2厅 2300元,咸嘉西子园  ,河西步步高租房,3室2厅  ,106平米  ,北,随时看房,2300,6,yuelu
凯通朝庭 2室1厅 2800元,凯通朝庭  ,火车站租房,2室1厅  ,89平米  ,南,距离2号线长沙火车站站1023米,2800,1,furong
梦网景园 5室2厅 8000元,梦网景园  ,湘府路租房,5室2厅  ,220平米  ,南 北,/,8000,/,tianxin
第六都 1室1厅 2200元,第六都  ,雨花亭租房,1室1厅  ,46平米  ,北,距离1号线涂家冲站289米,2200,5,yuhua
鑫天御景湾 精装三房 独立厨卫 交通便利 随时看房,鑫天御景湾  ,喜盈门租房,3室2厅  ,90平米  ,南,随时看房,2500,5,yuhua
五一华府 2室1厅 3500元,五一华府  ,五一广场租房,2室1厅  ,60平米  ,南,距离2号线五一广场站243米,3500,3,furong
和庄二期 3室1厅 3000元,和庄二期  ,新开铺租房,3室1厅  ,93平米  ,南,距离1号线友谊路站753米,3000,0,tianxin
岳银二村 2室1厅 1500元,岳银二村  ,银盆岭租房,2室1厅  ,65平米  ,南,/,1500,/,yuelu
先锋水韵花都 3室2厅 3200元,先锋水韵花都  ,开福区政府租房,3室2厅  ,103平米  ,南,距离1号线马厂站324米,3200,10,kaifu
乾城 1室1厅 1700元,乾城  ,黄土岭租房,1室1厅  ,48平米  ,西,随时看房,1700,0,tianxin
升远君尚嘉筑 3室2厅 2400元,升远君尚嘉筑  ,德思勤租房,3室2厅  ,133平米  ,南,/,2400,/,tianxin
北辰三角洲D2区 4室2厅 5500元,北辰三角洲D2区  ,北辰三角洲租房,4室2厅  ,169平米  ,南,距离1号线北辰三角洲站193米,5500,5,kaifu
金色LOFT 2室2厅 2400元,金色LOFT  ,树木岭租房,2室2厅  ,75平米  ,南,距离城际铁路香樟路站站1085米,2400,3,yuhua
精装三房 家具家电齐全 拎包入住,世纪城鸿江苑  ,湘江世纪城租房,3室1厅  ,138平米  ,南,/,3200,/,kaifu
万国城三期 3室2厅 2800元,万国城三期  ,福元西路租房,3室2厅  ,90平米  ,南,/,2800,/,kaifu
长沙奥林匹克花园 2室1厅 2800元,长沙奥林匹克花园  ,德思勤租房,2室1厅  ,90平米  ,南,随时看房,2800,0,tianxin
世茂铂翠湾，环境地理位置适合办公,世茂铂翠湾  ,滨江新城租房,3室1厅  ,96平米  ,南,随时看房,3000,7,yuelu
北辰三角洲E6区 4室2厅 5300元,北辰三角洲E6区  ,北辰三角洲租房,4室2厅  ,150平米  ,南,距离1号线北辰三角洲站881米,5300,4,kaifu
高鑫麓城 2室1厅 2700元,高鑫麓城  ,商学院租房,2室1厅  ,88平米  ,南,/,2700,/,yuelu
湘府十城 3室2厅 2200元,湘府十城  ,汽车南站租房,3室2厅  ,88平米  ,南 北,随时看房,2200,0,yuhua
北辰三角洲凤凰公元 1室1厅 4000元,北辰三角洲凤凰公元  ,北辰三角洲租房,1室1厅  ,68平米  ,南,距离1号线北辰三角洲站228米,4000,4,kaifu
东塘瑞府 1室0厅 2100元,东塘瑞府  ,左家塘租房,1室0厅  ,43平米  ,南,随时看房,2100,1,yuhua
万国城MOMA二期 2室1厅 2500元,万国城MOMA二期  ,福元西路租房,2室1厅  ,86平米  ,南,随时看房,2500,5,kaifu
奥克斯商圈，江景房，小区安静人车分流，环境物业好,世茂铂翠湾  ,滨江新城租房,3室2厅  ,94平米  ,南,随时看房,3200,9,yuelu
协信星澜汇 2室2厅 2400元,协信星澜汇  ,观沙岭租房,2室2厅  ,70平米  ,南,随时看房,2400,0,yuelu
标志CEO公馆整租办公楼，300平。,标志商务中心  ,湘府路租房,1室1厅  ,50平米  ,南,/,2250,/,tianxin
金谷大厦 2室2厅 2300元,金谷大厦  ,河西人人乐租房,2室2厅  ,92平米  ,西南,随时看房,2300,1,yuelu
万博汇名邸二期 3室1厅 3900元,万博汇名邸二期  ,雨花亭租房,3室1厅  ,89平米  ,东,/,3900,/,yuhua
人民新村社区 2室2厅 1800元,人民新村社区  ,火车站租房,2室2厅  ,78平米  ,南,距离2号线袁家岭站615米,1800,0,furong
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,5,yuhua
万国城MOMA二期 2室2厅 2500元,万国城MOMA二期  ,福元西路租房,2室2厅  ,87平米  ,南,随时看房,2500,5,kaifu
万国城MOMA二期 2室2厅 2100元,万国城MOMA二期  ,福元西路租房,2室2厅  ,89平米  ,南,随时看房,2100,19,kaifu
未来城 1室1厅 1500元,未来城  ,河西人人乐租房,1室1厅  ,40平米  ,南,随时看房,1500,14,yuelu
凯通国际城 2室2厅 2000元,凯通国际城  ,火车站租房,2室2厅  ,70平米  ,南,距离1号线开福寺站555米,2000,0,furong
梅溪湖壹号三期 3室2厅 3000元,梅溪湖壹号三期  ,梅溪湖南岸租房,3室2厅  ,100平米  ,南,随时看房,3000,0,yuelu
万国城MOMA二期 2室2厅 2800元,万国城MOMA二期  ,福元西路租房,2室2厅  ,88平米  ,南,/,2800,/,kaifu
上海城 3室2厅 2900元,上海城  ,韶山南路租房,3室2厅  ,110平米  ,南,随时看房,2900,8,yuhua
虽为楼梯房，但是位于铁道学院内的价美三房,荷花村  ,铁道学院租房,3室2厅  ,85平米  ,北,/,1900,/,tianxin
万科西街庭院 4室2厅 4300元,万科西街庭院  ,尚东租房,4室2厅  ,169平米  ,南,距离2号线人民东路站773米,4300,5,yuhua
银桂苑 4室2厅 1800元,银桂苑  ,省政府租房,4室2厅  ,150平米  ,南,/,1800,/,tianxin
世纪城悦江苑 2室1厅 2300元,世纪城悦江苑  ,湘江世纪城租房,2室1厅  ,89平米  ,南,距离1号线开福区政府站1011米,2300,3,kaifu
天鸿中央大院 2室1厅 2400元,天鸿中央大院  ,铁道学院租房,2室1厅  ,55平米  ,北,距离1号线铁道学院站957米,2400,8,tianxin
富兴汇中央 4室2厅 3000元,富兴汇中央  ,铁道学院租房,4室2厅  ,165平米  ,南,/,3000,/,tianxin
北辰定江洋 2室2厅 8500元,北辰定江洋  ,北辰三角洲租房,2室2厅  ,128平米  ,西,/,8500,/,kaifu
天鸿中央大院 2室1厅 2300元,天鸿中央大院  ,铁道学院租房,2室1厅  ,65平米  ,南,距离1号线铁道学院站957米,2300,5,tianxin
北辰三角洲奥城E5区 3室2厅 3600元,北辰三角洲奥城E5区  ,北辰三角洲租房,3室2厅  ,95平米  ,南,距离1号线北辰三角洲站595米,3600,2,kaifu
卓越蔚蓝海岸三期 3室2厅 2500元,卓越蔚蓝海岸三期  ,市政府租房,3室2厅  ,90平米  ,南,随时看房,2500,1,yuelu
业主诚心出租，价格优惠，万科自带物业。,万科城  ,福元西路租房,3室2厅  ,87平米  ,南,随时看房,3000,6,kaifu
保利国际广场 1室1厅 3200元,保利国际广场  ,书院路租房,1室1厅  ,45平米  ,西,/,3200,/,tianxin
洞井一小区 3室2厅 1900元,洞井一小区  ,德思勤租房,3室2厅  ,105平米  ,南 北,随时看房,1900,4,yuhua
丽水熙园 3室2厅 1700元,丽水熙园  ,新开铺租房,3室2厅  ,108平米  ,南 北,/,1700,/,tianxin
北辰定江洋 3室2厅 4000元,北辰定江洋  ,北辰三角洲租房,3室2厅  ,187平米  ,西南,随时看房,4000,0,kaifu
万科金域华府 3室2厅 2500元,万科金域华府  ,武广新城租房,3室2厅  ,90平米  ,南,距离城际铁路香樟路站站960米,2500,1,yuhua
东方新城 2室1厅 2300元,东方新城  ,德政园租房,2室1厅  ,88平米  ,南 北,距离2号线万家丽广场站394米,2300,1,furong
钱隆学府 2室2厅 1900元,钱隆学府  ,省政府租房,2室2厅  ,90平米  ,南 北,随时看房,1900,0,tianxin
富湾国际 4室1厅 7500元,富湾国际  ,开福区政府租房,4室1厅  ,260平米  ,南 北,距离1号线马厂站1131米,7500,1,kaifu
雨花亭办事处宿舍 3室2厅 2400元,雨花亭办事处宿舍  ,雨花亭租房,3室2厅  ,150平米  ,南,随时看房,2400,1,yuhua
恒大御景湾 4室2厅 3000元,恒大御景湾  ,滨江新城租房,4室2厅  ,145平米  ,南,随时看房,3000,1,yuelu
湘域熙岸 4室2厅 3800元,湘域熙岸  ,尚东租房,4室2厅  ,126平米  ,东南,距离2号线人民东路站406米,3800,0,furong
湘江豪庭 4室1厅 5800元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南,随时看房,5800,4,kaifu
沁园春御院 1室1厅 2500元,沁园春御院  ,河西步步高租房,1室1厅  ,44平米  ,南,随时看房,2500,8,yuelu
北辰三角洲奥城E5区 2室2厅 3500元,北辰三角洲奥城E5区  ,北辰三角洲租房,2室2厅  ,95平米  ,南,距离1号线北辰三角洲站813米,3500,2,kaifu
阳光锦城 2室1厅 2400元,阳光锦城  ,雨花亭租房,2室1厅  ,65平米  ,北,随时看房,2400,5,yuhua
东方摩卡 粗犷工业装修风格三房,东方摩卡  ,马王堆租房,3室2厅  ,105平米  ,南,距离2号线锦泰广场站1086米,3000,0,furong
金茂广场 3室2厅 4300元,金茂广场  ,梅溪湖北岸租房,3室2厅  ,141平米  ,南 北,随时看房,4300,1,yuelu
华盛世纪新城 3室1厅 3400元,华盛世纪新城  ,喜盈门租房,3室1厅  ,140平米  ,南,距离城际铁路湘府路站站1199米,3400,1,yuhua
标志CEO公馆整租办公楼，300平。,标志商务中心  ,湘府路租房,1室1厅  ,50平米  ,南,/,2250,/,tianxin
长房时代城 3室2厅 1800元,长房时代城  ,河西人人乐租房,3室2厅  ,138平米  ,南,随时看房,1800,0,yuelu
旭辉御府精装三房 实惠出租 办公居家都行 拎包入住,旭辉御府  ,梅溪湖北岸租房,3室2厅  ,138平米  ,南 北,随时看房,2500,5,yuelu
居家装修，陪读居家好选择  随时可看,第一湾  ,四方坪租房,3室2厅  ,91平米  ,南,随时看房,2800,15,kaifu
五矿万境水岸一期 2室2厅 2000元,五矿万境水岸一期  ,喜盈门租房,2室2厅  ,80平米  ,南,距离城际铁路湘府路站站706米,2000,0,yuhua
达美D6区 3室2厅 3500元,达美D6区  ,汽车西站租房,3室2厅  ,90平米  ,南,距离2号线望城坡站1075米,3500,4,yuelu
新兴北京御园 2室2厅 2000元,新兴北京御园  ,市政府租房,2室2厅  ,78平米  ,南,/,2000,/,yuelu
恒大御景半岛 5室3厅 8000元,恒大御景半岛  ,开福区政府租房,5室3厅  ,420平米  ,南 北,距离1号线马厂站932米,8000,5,kaifu
和庄 2室2厅 2500元,和庄  ,新开铺租房,2室2厅  ,81平米  ,南,距离1号线友谊路站748米,2500,2,tianxin
兰亭都荟 3室2厅 3000元,兰亭都荟  ,桐梓坡租房,3室2厅  ,90平米  ,南,随时看房,3000,2,yuelu
北辰三角洲奥城E4区 2室2厅 3300元,北辰三角洲奥城E4区  ,北辰三角洲租房,2室2厅  ,79平米  ,南,随时看房,3300,7,kaifu
沁园春 4室2厅 3400元,沁园春  ,银盆岭租房,4室2厅  ,166平米  ,南,/,3400,/,yuelu
马厂地铁口南北通透家电家具齐全中层精装大两房,珠江花城三期  ,福元西路租房,2室1厅  ,80平米  ,南,距离1号线马厂站500米,2200,11,kaifu
佳天瑞宁花园 1室1厅 2300元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,53平米  ,南 北,随时看房,2300,1,yuhua
达美D6区 4室2厅 4600元,达美D6区  ,汽车西站租房,4室2厅  ,118平米  ,南,距离2号线望城坡站1075米,4600,0,yuelu
蓝光雍锦阁 3室2厅 2300元,蓝光雍锦阁  ,桐梓坡租房,3室2厅  ,107平米  ,南,随时看房,2300,7,yuelu
标志CEO公馆整租办公楼，300平。,标志商务中心  ,湘府路租房,1室1厅  ,50平米  ,南,/,2250,/,tianxin
万科金域华府 3室1厅 3000元,万科金域华府  ,武广新城租房,3室1厅  ,125平米  ,南 北,距离城际铁路香樟路站站993米,3000,0,yuhua
金谷大厦 3室2厅 2800元,金谷大厦  ,河西人人乐租房,3室2厅  ,139平米  ,南,随时看房,2800,3,yuelu
德政园明心苑 110平大三房 简单装修,德政园明心苑  ,德政园租房,3室2厅  ,110平米  ,南 北,距离2号线万家丽广场站1034米,2000,0,furong
万科金域华府 3室2厅 2700元,万科金域华府  ,武广新城租房,3室2厅  ,90平米  ,东南,距离城际铁路香樟路站站957米,2700,11,yuhua
北辰三角洲奥城E4区 2室1厅 3500元,北辰三角洲奥城E4区  ,北辰三角洲租房,2室1厅  ,78平米  ,南,随时看房,3500,3,kaifu
长房时代城 1室1厅 1600元,长房时代城  ,河西人人乐租房,1室1厅  ,36平米  ,南,随时看房,1600,7,yuelu
湘江豪庭 4室1厅 4000元,湘江豪庭  ,开福区政府租房,4室1厅  ,199平米  ,南 北,距离1号线马厂站1152米,4000,2,kaifu
长房时代城 3室2厅 2500元,长房时代城  ,河西人人乐租房,3室2厅  ,89平米  ,南,随时看房,2500,1,yuelu
融圣国际 1室0厅 2000元,融圣国际  ,桂花村租房,1室0厅  ,56平米  ,南,/,2000,/,yuhua
